|product_name|product_url|product_image_url|product_price|site_name|currency|price|url
56|Men's Vancouver Canucks Elias Pettersson adidas Royal 2019/20 Alternate - Authentic Player Jersey|https://www.nhlshop.ca/en/vancouver-canucks/mens-vancouver-canucks-elias-pettersson-adidas-royal-2019/20-alternate-authentic-player-jersey/t-36828685+p-2505082472619+z-9-3675240904?_ref=p-OSLP:m-GRID:i-r18c2:po-56|/en/vancouver-canucks/mens-vancouver-canucks-elias-pettersson-adidas-royal-2019/20-alternate-authentic-player-jersey/t-36828685+p-2505082472619+z-9-3675240904?_ref=p-OSLP:m-GRID:i-r18c2:po-56|199.99|NHLShopCanada|CAD||
57|Men's Toronto Maple Leafs adidas Blue 2020/21 - Reverse Retro Wordmark Jersey|https://www.nhlshop.ca/en/toronto-maple-leafs/mens-toronto-maple-leafs-adidas-blue-2020/21-reverse-retro-wordmark-jersey/t-14154217+p-1454280694314+z-9-879150400?_ref=p-OSLP:m-GRID:i-r19c0:po-57|/en/toronto-maple-leafs/mens-toronto-maple-leafs-adidas-blue-2020/21-reverse-retro-wordmark-jersey/t-14154217+p-1454280694314+z-9-879150400?_ref=p-OSLP:m-GRID:i-r19c0:po-57|159.99|NHLShopCanada|CAD||
58|Men's Vancouver Canucks adidas Blue - Authentic Pro Blank Home Jersey|https://www.nhlshop.ca/en/vancouver-canucks/mens-vancouver-canucks-adidas-blue-authentic-pro-blank-home-jersey/t-47264296+p-3695811605175+z-9-3701764863?_ref=p-OSLP:m-GRID:i-r19c1:po-58|/en/vancouver-canucks/mens-vancouver-canucks-adidas-blue-authentic-pro-blank-home-jersey/t-47264296+p-3695811605175+z-9-3701764863?_ref=p-OSLP:m-GRID:i-r19c1:po-58|159.99|NHLShopCanada|CAD||
59|Men's Calgary Flames Johnny Gaudreau adidas White 2020/21 Away - Authentic Player Jersey|https://www.nhlshop.ca/en/calgary-flames/mens-calgary-flames-johnny-gaudreau-adidas-white-2020/21-away-authentic-player-jersey/t-25040521+p-825533341462+z-8-3303335960?_ref=p-OSLP:m-GRID:i-r19c2:po-59|/en/calgary-flames/mens-calgary-flames-johnny-gaudreau-adidas-white-2020/21-away-authentic-player-jersey/t-25040521+p-825533341462+z-8-3303335960?_ref=p-OSLP:m-GRID:i-r19c2:po-59|199.99|NHLShopCanada|CAD||
60|Men's Detroit Red Wings adidas Red Authentic Pro - Blank Jersey|https://www.nhlshop.ca/en/detroit-red-wings/mens-detroit-red-wings-adidas-red-authentic-pro-blank-jersey/t-14935149+p-7932235660396+z-9-1499428620?_ref=p-OSLP:m-GRID:i-r20c0:po-60|/en/detroit-red-wings/mens-detroit-red-wings-adidas-red-authentic-pro-blank-jersey/t-14935149+p-7932235660396+z-9-1499428620?_ref=p-OSLP:m-GRID:i-r20c0:po-60|159.99|NHLShopCanada|CAD||
61|Men's St. Louis Blues adidas Blue 2018/19 Alternate - Authentic Pro Jersey|https://www.nhlshop.ca/en/st-louis-blues/mens-st-louis-blues-adidas-blue-2018/19-alternate-authentic-pro-jersey/t-25261945+p-7177826001386+z-9-3590616764?_ref=p-OSLP:m-GRID:i-r20c1:po-61|/en/st-louis-blues/mens-st-louis-blues-adidas-blue-2018/19-alternate-authentic-pro-jersey/t-25261945+p-7177826001386+z-9-3590616764?_ref=p-OSLP:m-GRID:i-r20c1:po-61|159.99|NHLShopCanada|CAD||
62|Men's Winnipeg Jets Patrik Laine adidas Navy Authentic Player - Jersey|https://www.nhlshop.ca/en/winnipeg-jets/mens-winnipeg-jets-patrik-laine-adidas-navy-authentic-player-jersey/t-36715387+p-2464261644501+z-9-2874019539?_ref=p-OSLP:m-GRID:i-r20c2:po-62|/en/winnipeg-jets/mens-winnipeg-jets-patrik-laine-adidas-navy-authentic-player-jersey/t-36715387+p-2464261644501+z-9-2874019539?_ref=p-OSLP:m-GRID:i-r20c2:po-62|99.99|NHLShopCanada|CAD||
63|Men's Winnipeg Jets Mark Scheifele adidas Gray 2020/21 - Reverse Retro Player Jersey|https://www.nhlshop.ca/en/winnipeg-jets/mens-winnipeg-jets-mark-scheifele-adidas-gray-2020/21-reverse-retro-player-jersey/t-36152076+p-0354950650675+z-9-3936421842?_ref=p-OSLP:m-GRID:i-r21c0:po-63|/en/winnipeg-jets/mens-winnipeg-jets-mark-scheifele-adidas-gray-2020/21-reverse-retro-player-jersey/t-36152076+p-0354950650675+z-9-3936421842?_ref=p-OSLP:m-GRID:i-r21c0:po-63|199.99|NHLShopCanada|CAD||
64|Men's Vancouver Canucks Bo Horvat adidas Royal 2019/20 Alternate - Authentic Player Jersey|https://www.nhlshop.ca/en/vancouver-canucks/mens-vancouver-canucks-bo-horvat-adidas-royal-2019/20-alternate-authentic-player-jersey/t-25158630+p-4716644627947+z-9-469724376?_ref=p-OSLP:m-GRID:i-r21c1:po-64|/en/vancouver-canucks/mens-vancouver-canucks-bo-horvat-adidas-royal-2019/20-alternate-authentic-player-jersey/t-25158630+p-4716644627947+z-9-469724376?_ref=p-OSLP:m-GRID:i-r21c1:po-64|199.99|NHLShopCanada|CAD||
65|Men's Vancouver Canucks Elias Pettersson adidas White 2019/20 Away - Authentic Player Jersey|https://www.nhlshop.ca/en/vancouver-canucks/mens-vancouver-canucks-elias-pettersson-adidas-white-2019/20-away-authentic-player-jersey/t-58260830+p-253903498841+z-8-2394605462?_ref=p-OSLP:m-GRID:i-r21c2:po-65|/en/vancouver-canucks/mens-vancouver-canucks-elias-pettersson-adidas-white-2019/20-away-authentic-player-jersey/t-58260830+p-253903498841+z-8-2394605462?_ref=p-OSLP:m-GRID:i-r21c2:po-65|199.99|NHLShopCanada|CAD||
